Era{0}: --------------------
(68.500000, 0.000000)
(-0.300000, 388.200000)
(82.700000, 340.000000)
(0.000000, 0.000000)
(98.900000, 0.000000)
(-14.300000, 0.000000)
(9.530000, 0.000000)
(88.700000, -0.300000)
(0.000000, 488.400000)
(92.800000, 155.500000)
(11.000000, 68.000000)
(-0.300000, 270.700000)
(182.000000, 230.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(-0.300000, 1.750000)
(0.000000, 161.250000)
(-0.300000, 144.525000)
(-180.070000, 0.300000)
(0.000000, 0.000000)

Era{1}: --------------------
(11.570000, 506.285000)
(0.000000, 0.000000)
(-0.030000, 269.125000)
(0.000000, 0.000000)
(-67.960000, 506.855000)
(-14.300000, 0.000000)
(-0.270000, 0.300000)
(88.400000, -0.600000)
(0.000000, 146.100000)
(-0.570000, 111.840000)
(0.000000, 0.000000)
(-0.600000, 270.400000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(-0.600000, 1.450000)
(0.000000, 161.250000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)

Era{2}: --------------------
(-12.570000, 0.300000)
(0.000000, 0.000000)
(-0.030000, 269.125000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, -131.490000)
(0.300000, 0.030000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(-0.900000, 1.150000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)

Era{3}: --------------------
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.300000, 0.030000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.000000, 0.000000)
(0.600000, 0.330000)
(0.600000, 0.330000)

Era{4}: --------------------
(0.000000, 0.000000)
(0.000000, 0.000000)
